"";"Model";"NoiseLevel";"NoiseType";"Variable";"MAPE";"ErrorType";"PT_type";"Model_ErrorType"
"67";"ANN";0,01;"Combined";"cab";2,32910388396683;"Validation error";17;"ANN Validation error"
"68";"MTN";0,01;"Combined";"cab";0,973558549146223;"Validation error";17;"MTN Validation error"
"69";"RFR";0,01;"Inverted";"cab";2,02238143263659;"Validation error";17;"RFR Validation error"
"70";"GPR";0,01;"Inverted";"cab";4,23911107424686;"Validation error";17;"GPR Validation error"
"71";"ANN";0,01;"Inverted";"cab";2,70651245788445;"Validation error";17;"ANN Validation error"
"72";"MTN";0,01;"Inverted";"cab";1,44320247302857;"Validation error";17;"MTN Validation error"
"73";"RFR";0,01;"Combined";"cw";38,3023258223534;"Validation error";17;"RFR Validation error"
"74";"GPR";0,01;"Combined";"cw";6,60644368715586;"Validation error";17;"GPR Validation error"
"75";"ANN";0,01;"Combined";"cw";3,597839590101;"Validation error";17;"ANN Validation error"
"76";"MTN";0,01;"Combined";"cw";2,16702995814013;"Validation error";17;"MTN Validation error"
"77";"RFR";0,01;"Inverted";"cw";37,2793922266786;"Validation error";17;"RFR Validation error"
"78";"GPR";0,01;"Inverted";"cw";6,54063296287652;"Validation error";17;"GPR Validation error"
"79";"ANN";0,01;"Inverted";"cw";3,53704561450959;"Validation error";17;"ANN Validation error"
"80";"MTN";0,01;"Inverted";"cw";2,7308735245166;"Validation error";17;"MTN Validation error"
"81";"RFR";0,01;"Combined";"cm";41,3221796321643;"Validation error";17;"RFR Validation error"
"82";"GPR";0,01;"Combined";"cm";11,2233215826642;"Validation error";17;"GPR Validation error"
"83";"ANN";0,01;"Combined";"cm";3,33613797450612;"Validation error";17;"ANN Validation error"
"84";"MTN";0,01;"Combined";"cm";2,37825474654924;"Validation error";17;"MTN Validation error"
"85";"RFR";0,01;"Inverted";"cm";38,6007089541643;"Validation error";17;"RFR Validation error"
"86";"GPR";0,01;"Inverted";"cm";11,2754239330501;"Validation error";17;"GPR Validation error"
"87";"ANN";0,01;"Inverted";"cm";4,67179095912743;"Validation error";17;"ANN Validation error"
"88";"MTN";0,01;"Inverted";"cm";4,60440132961675;"Validation error";17;"MTN Validation error"
"89";"RFR";0,01;"Combined";"lai";15,9431058683471;"Validation error";17;"RFR Validation error"
"90";"GPR";0,01;"Combined";"lai";18,6889087300218;"Validation error";17;"GPR Validation error"
"91";"ANN";0,01;"Combined";"lai";5,19015200072804;"Validation error";17;"ANN Validation error"
"92";"MTN";0,01;"Combined";"lai";2,93423017359667;"Validation error";17;"MTN Validation error"
"93";"RFR";0,01;"Inverted";"lai";20,9781700016044;"Validation error";17;"RFR Validation error"
"94";"GPR";0,01;"Inverted";"lai";18,462771985903;"Validation error";17;"GPR Validation error"
"95";"ANN";0,01;"Inverted";"lai";5,58738582413878;"Validation error";17;"ANN Validation error"
"96";"MTN";0,01;"Inverted";"lai";4,37102281453365;"Validation error";17;"MTN Validation error"
"97";"RFR";0,01;"Combined";"cab";1,11833845697394;"Validation error";17;"RFR Validation error"
"98";"GPR";0,01;"Combined";"cab";4,11812045919611;"Validation error";17;"GPR Validation error"
"99";"ANN";0,01;"Combined";"cab";2,17672208417446;"Validation error";17;"ANN Validation error"
"100";"MTN";0,01;"Combined";"cab";0,977679775442114;"Validation error";17;"MTN Validation error"
"101";"RFR";0,01;"Inverted";"cab";1,66832955689508;"Validation error";17;"RFR Validation error"
"102";"GPR";0,01;"Inverted";"cab";4,13836901243995;"Validation error";17;"GPR Validation error"
"103";"ANN";0,01;"Inverted";"cab";1,37524159298484;"Validation error";17;"ANN Validation error"
"104";"MTN";0,01;"Inverted";"cab";1,40428111249176;"Validation error";17;"MTN Validation error"
"105";"RFR";0,01;"Combined";"cw";39,1140319457666;"Validation error";17;"RFR Validation error"
"106";"GPR";0,01;"Combined";"cw";5,82247490665997;"Validation error";17;"GPR Validation error"
"107";"ANN";0,01;"Combined";"cw";2,82167083495349;"Validation error";17;"ANN Validation error"
"108";"MTN";0,01;"Combined";"cw";1,93534826727285;"Validation error";17;"MTN Validation error"
"109";"RFR";0,01;"Inverted";"cw";38,0343068007073;"Validation error";17;"RFR Validation error"
"110";"GPR";0,01;"Inverted";"cw";5,8180875144588;"Validation error";17;"GPR Validation error"
"111";"ANN";0,01;"Inverted";"cw";3,33876903337326;"Validation error";17;"ANN Validation error"
"112";"MTN";0,01;"Inverted";"cw";3,26716111145813;"Validation error";17;"MTN Validation error"
"113";"RFR";0,01;"Combined";"cm";34,0112842199519;"Validation error";17;"RFR Validation error"
"114";"GPR";0,01;"Combined";"cm";9,4534086417936;"Validation error";17;"GPR Validation error"
"115";"ANN";0,01;"Combined";"cm";3,00289358984715;"Validation error";17;"ANN Validation error"
"116";"MTN";0,01;"Combined";"cm";1,64030138984246;"Validation error";17;"MTN Validation error"
"117";"RFR";0,01;"Inverted";"cm";31,3602444705672;"Validation error";17;"RFR Validation error"
"118";"GPR";0,01;"Inverted";"cm";9,58578636768944;"Validation error";17;"GPR Validation error"
"119";"ANN";0,01;"Inverted";"cm";4,32059100402646;"Validation error";17;"ANN Validation error"
"120";"MTN";0,01;"Inverted";"cm";3,93218957281042;"Validation error";17;"MTN Validation error"
"121";"RFR";0,01;"Combined";"lai";12,779595791024;"Validation error";17;"RFR Validation error"
"122";"GPR";0,01;"Combined";"lai";20,5837035472334;"Validation error";17;"GPR Validation error"
"123";"ANN";0,01;"Combined";"lai";6,55496106112654;"Validation error";17;"ANN Validation error"
"124";"MTN";0,01;"Combined";"lai";3,22803389706831;"Validation error";17;"MTN Validation error"
"125";"RFR";0,01;"Inverted";"lai";19,479777152047;"Validation error";17;"RFR Validation error"
"126";"GPR";0,01;"Inverted";"lai";20,4687082492251;"Validation error";17;"GPR Validation error"
"127";"ANN";0,01;"Inverted";"lai";5,73909783931473;"Validation error";17;"ANN Validation error"
"128";"MTN";0,01;"Inverted";"lai";6,53017711758567;"Validation error";17;"MTN Validation error"
"129";"RFR";0,01;"Combined";"cab";1,59934494568016;"Validation error";17;"RFR Validation error"
"130";"GPR";0,01;"Combined";"cab";4,93130812285655;"Validation error";17;"GPR Validation error"
"131";"ANN";0,01;"Combined";"cab";1,77717503310466;"Validation error";17;"ANN Validation error"
"132";"MTN";0,01;"Combined";"cab";1,30587892061879;"Validation error";17;"MTN Validation error"
"133";"RFR";0,01;"Inverted";"cab";2,00066557127874;"Validation error";17;"RFR Validation error"
"134";"GPR";0,01;"Inverted";"cab";4,8757745326245;"Validation error";17;"GPR Validation error"
"135";"ANN";0,01;"Inverted";"cab";2,71436002356662;"Validation error";17;"ANN Validation error"
"136";"MTN";0,01;"Inverted";"cab";1,06519319583294;"Validation error";17;"MTN Validation error"
"137";"RFR";0,01;"Combined";"cw";37,3143383777688;"Validation error";17;"RFR Validation error"
"138";"GPR";0,01;"Combined";"cw";7,12792378888671;"Validation error";17;"GPR Validation error"
"139";"ANN";0,01;"Combined";"cw";2,37062434002672;"Validation error";17;"ANN Validation error"
"140";"MTN";0,01;"Combined";"cw";2,63433344296446;"Validation error";17;"MTN Validation error"
"141";"RFR";0,01;"Inverted";"cw";36,3968914629097;"Validation error";17;"RFR Validation error"
"142";"GPR";0,01;"Inverted";"cw";7,20414495083886;"Validation error";17;"GPR Validation error"
"143";"ANN";0,01;"Inverted";"cw";2,7956781399455;"Validation error";17;"ANN Validation error"
"144";"MTN";0,01;"Inverted";"cw";3,36472322775824;"Validation error";17;"MTN Validation error"
"145";"RFR";0,01;"Combined";"cm";32,7001248357044;"Validation error";17;"RFR Validation error"
"146";"GPR";0,01;"Combined";"cm";8,93438119358972;"Validation error";17;"GPR Validation error"
"147";"ANN";0,01;"Combined";"cm";2,86461492097677;"Validation error";17;"ANN Validation error"
"148";"MTN";0,01;"Combined";"cm";2,74882827711063;"Validation error";17;"MTN Validation error"
"149";"RFR";0,01;"Inverted";"cm";29,0927718736184;"Validation error";17;"RFR Validation error"
"150";"GPR";0,01;"Inverted";"cm";9,15427871956084;"Validation error";17;"GPR Validation error"
"151";"ANN";0,01;"Inverted";"cm";4,23488986735436;"Validation error";17;"ANN Validation error"
"152";"MTN";0,01;"Inverted";"cm";5,60887376325623;"Validation error";17;"MTN Validation error"
"153";"RFR";0,01;"Combined";"lai";16,091675262099;"Validation error";17;"RFR Validation error"
"154";"GPR";0,01;"Combined";"lai";19,0843278146605;"Validation error";17;"GPR Validation error"
"155";"ANN";0,01;"Combined";"lai";5,44413885772822;"Validation error";17;"ANN Validation error"
"156";"MTN";0,01;"Combined";"lai";4,84260143641812;"Validation error";17;"MTN Validation error"
"157";"RFR";0,01;"Inverted";"lai";21,6192227976873;"Validation error";17;"RFR Validation error"
"158";"GPR";0,01;"Inverted";"lai";18,9252880444354;"Validation error";17;"GPR Validation error"
"159";"ANN";0,01;"Inverted";"lai";9,4714012683655;"Validation error";17;"ANN Validation error"
"160";"MTN";0,01;"Inverted";"lai";6,83564127630346;"Validation error";17;"MTN Validation error"
"161";"RFR";0,01;"Combined";"cab";1,37435725827407;"Validation error";17;"RFR Validation error"
"162";"GPR";0,01;"Combined";"cab";4,88944883325103;"Validation error";17;"GPR Validation error"
"163";"ANN";0,01;"Combined";"cab";3,14626039317608;"Validation error";17;"ANN Validation error"
"164";"MTN";0,01;"Combined";"cab";1,354780998251;"Validation error";17;"MTN Validation error"
"165";"RFR";0,01;"Inverted";"cab";1,87201692352562;"Validation error";17;"RFR Validation error"
"166";"GPR";0,01;"Inverted";"cab";4,9957051046762;"Validation error";17;"GPR Validation error"
"167";"ANN";0,01;"Inverted";"cab";2,0530776152219;"Validation error";17;"ANN Validation error"
"168";"MTN";0,01;"Inverted";"cab";0,896130671827314;"Validation error";17;"MTN Validation error"
"169";"RFR";0,01;"Combined";"cw";44,3969908641567;"Validation error";17;"RFR Validation error"
"170";"GPR";0,01;"Combined";"cw";8,2266746378349;"Validation error";17;"GPR Validation error"
"171";"ANN";0,01;"Combined";"cw";4,44517921297643;"Validation error";17;"ANN Validation error"
"172";"MTN";0,01;"Combined";"cw";4,07790959274402;"Validation error";17;"MTN Validation error"
"173";"RFR";0,01;"Inverted";"cw";43,0719133417366;"Validation error";17;"RFR Validation error"
"174";"GPR";0,01;"Inverted";"cw";8,40608817838818;"Validation error";17;"GPR Validation error"
"175";"ANN";0,01;"Inverted";"cw";3,7194716628089;"Validation error";17;"ANN Validation error"
"176";"MTN";0,01;"Inverted";"cw";2,97167619534274;"Validation error";17;"MTN Validation error"
"177";"RFR";0,01;"Combined";"cm";36,9087459971536;"Validation error";17;"RFR Validation error"
"178";"GPR";0,01;"Combined";"cm";11,6070115391867;"Validation error";17;"GPR Validation error"
"179";"ANN";0,01;"Combined";"cm";4,02724419456672;"Validation error";17;"ANN Validation error"
"180";"MTN";0,01;"Combined";"cm";3,4582355273934;"Validation error";17;"MTN Validation error"
"181";"RFR";0,01;"Inverted";"cm";33,6176863639499;"Validation error";17;"RFR Validation error"
"182";"GPR";0,01;"Inverted";"cm";11,7081086546138;"Validation error";17;"GPR Validation error"
"183";"ANN";0,01;"Inverted";"cm";4,1206194770794;"Validation error";17;"ANN Validation error"
"184";"MTN";0,01;"Inverted";"cm";2,74935589344789;"Validation error";17;"MTN Validation error"
"185";"RFR";0,01;"Combined";"lai";15,5674649935693;"Validation error";17;"RFR Validation error"
"186";"GPR";0,01;"Combined";"lai";21,1043691042358;"Validation error";17;"GPR Validation error"
"187";"ANN";0,01;"Combined";"lai";5,04174708366607;"Validation error";17;"ANN Validation error"
"188";"MTN";0,01;"Combined";"lai";3,24046628726486;"Validation error";17;"MTN Validation error"
"189";"RFR";0,01;"Inverted";"lai";19,6309648279693;"Validation error";17;"RFR Validation error"
"190";"GPR";0,01;"Inverted";"lai";20,9953871225897;"Validation error";17;"GPR Validation error"
"191";"ANN";0,01;"Inverted";"lai";8,66665454071152;"Validation error";17;"ANN Validation error"
"192";"MTN";0,01;"Inverted";"lai";3,8726557989946;"Validation error";17;"MTN Validation error"
"193";"RFR";0,01;"Combined";"cab";1,52942612345904;"Validation error";17;"RFR Validation error"
"194";"GPR";0,01;"Combined";"cab";4,52659419811247;"Validation error";17;"GPR Validation error"
"195";"ANN";0,01;"Combined";"cab";2,34835448730244;"Validation error";17;"ANN Validation error"
"196";"MTN";0,01;"Combined";"cab";1,85872103584007;"Validation error";17;"MTN Validation error"
"197";"RFR";0,01;"Inverted";"cab";2,16744919278004;"Validation error";17;"RFR Validation error"
"198";"GPR";0,01;"Inverted";"cab";4,46775781401165;"Validation error";17;"GPR Validation error"
"199";"ANN";0,01;"Inverted";"cab";2,02761162065562;"Validation error";17;"ANN Validation error"
"200";"MTN";0,01;"Inverted";"cab";1,48379967193122;"Validation error";17;"MTN Validation error"
"201";"RFR";0,01;"Combined";"cw";38,4187622060085;"Validation error";17;"RFR Validation error"
"202";"GPR";0,01;"Combined";"cw";7,62254887705129;"Validation error";17;"GPR Validation error"
"203";"ANN";0,01;"Combined";"cw";2,62117660820277;"Validation error";17;"ANN Validation error"
"204";"MTN";0,01;"Combined";"cw";2,44271092587516;"Validation error";17;"MTN Validation error"
"205";"RFR";0,01;"Inverted";"cw";37,3319804675389;"Validation error";17;"RFR Validation error"
"206";"GPR";0,01;"Inverted";"cw";7,74940398570683;"Validation error";17;"GPR Validation error"
"207";"ANN";0,01;"Inverted";"cw";3,43326387556705;"Validation error";17;"ANN Validation error"
"208";"MTN";0,01;"Inverted";"cw";3,07399831347342;"Validation error";17;"MTN Validation error"
"209";"RFR";0,01;"Combined";"cm";34,705044920389;"Validation error";17;"RFR Validation error"
"210";"GPR";0,01;"Combined";"cm";11,2705908342234;"Validation error";17;"GPR Validation error"
"211";"ANN";0,01;"Combined";"cm";2,7225748503198;"Validation error";17;"ANN Validation error"
"212";"MTN";0,01;"Combined";"cm";2,34276195181912;"Validation error";17;"MTN Validation error"
"213";"RFR";0,01;"Inverted";"cm";32,1504378564305;"Validation error";17;"RFR Validation error"
"214";"GPR";0,01;"Inverted";"cm";11,4747260283021;"Validation error";17;"GPR Validation error"
"215";"ANN";0,01;"Inverted";"cm";4,17405006329369;"Validation error";17;"ANN Validation error"
"216";"MTN";0,01;"Inverted";"cm";2,97440681483535;"Validation error";17;"MTN Validation error"
"217";"RFR";0,01;"Combined";"lai";12,7987537396934;"Validation error";17;"RFR Validation error"
"218";"GPR";0,01;"Combined";"lai";22,4249791843289;"Validation error";17;"GPR Validation error"
"219";"ANN";0,01;"Combined";"lai";6,83900412091987;"Validation error";17;"ANN Validation error"
"220";"MTN";0,01;"Combined";"lai";2,97687269600835;"Validation error";17;"MTN Validation error"
"221";"RFR";0,01;"Inverted";"lai";17,8032340438637;"Validation error";17;"RFR Validation error"
"222";"GPR";0,01;"Inverted";"lai";22,2565959637741;"Validation error";17;"GPR Validation error"
"223";"ANN";0,01;"Inverted";"lai";6,19793859027865;"Validation error";17;"ANN Validation error"
"224";"MTN";0,01;"Inverted";"lai";6,75128843431454;"Validation error";17;"MTN Validation error"
"225";"RFR";0,01;"Combined";"cab";1,40623656781954;"Validation error";17;"RFR Validation error"
"226";"GPR";0,01;"Combined";"cab";4,52694188400903;"Validation error";17;"GPR Validation error"
"227";"ANN";0,01;"Combined";"cab";2,15326978677954;"Validation error";17;"ANN Validation error"
"228";"MTN";0,01;"Combined";"cab";1,16848138957306;"Validation error";17;"MTN Validation error"
"229";"RFR";0,01;"Inverted";"cab";2,04451961927093;"Validation error";17;"RFR Validation error"
"230";"GPR";0,01;"Inverted";"cab";4,53107572354563;"Validation error";17;"GPR Validation error"
"231";"ANN";0,01;"Inverted";"cab";1,96506240523944;"Validation error";17;"ANN Validation error"
"232";"MTN";0,01;"Inverted";"cab";2,27577399372817;"Validation error";17;"MTN Validation error"
"233";"RFR";0,01;"Combined";"cw";43,5941442241013;"Validation error";17;"RFR Validation error"
"234";"GPR";0,01;"Combined";"cw";7,52557877010285;"Validation error";17;"GPR Validation error"
"235";"ANN";0,01;"Combined";"cw";2,43236000608917;"Validation error";17;"ANN Validation error"
"236";"MTN";0,01;"Combined";"cw";2,38389834189899;"Validation error";17;"MTN Validation error"
"237";"RFR";0,01;"Inverted";"cw";42,5204385601861;"Validation error";17;"RFR Validation error"
"238";"GPR";0,01;"Inverted";"cw";7,56328158476466;"Validation error";17;"GPR Validation error"
"239";"ANN";0,01;"Inverted";"cw";4,35153724405274;"Validation error";17;"ANN Validation error"
"240";"MTN";0,01;"Inverted";"cw";5,97059972942861;"Validation error";17;"MTN Validation error"
"241";"RFR";0,01;"Combined";"cm";39,9305959527973;"Validation error";17;"RFR Validation error"
"242";"GPR";0,01;"Combined";"cm";12,1110103573829;"Validation error";17;"GPR Validation error"
"243";"ANN";0,01;"Combined";"cm";2,77414929496666;"Validation error";17;"ANN Validation error"
"244";"MTN";0,01;"Combined";"cm";3,82434266270023;"Validation error";17;"MTN Validation error"
"245";"RFR";0,01;"Inverted";"cm";36,6842071424442;"Validation error";17;"RFR Validation error"
"246";"GPR";0,01;"Inverted";"cm";12,2262194161983;"Validation error";17;"GPR Validation error"
"247";"ANN";0,01;"Inverted";"cm";5,5306604079684;"Validation error";17;"ANN Validation error"
"248";"MTN";0,01;"Inverted";"cm";45,5397303671736;"Validation error";17;"MTN Validation error"
"249";"RFR";0,01;"Combined";"lai";10,8813069506913;"Validation error";17;"RFR Validation error"
"250";"GPR";0,01;"Combined";"lai";22,3787293068366;"Validation error";17;"GPR Validation error"
"251";"ANN";0,01;"Combined";"lai";5,85072887090084;"Validation error";17;"ANN Validation error"
"252";"MTN";0,01;"Combined";"lai";2,28547734229826;"Validation error";17;"MTN Validation error"
"253";"RFR";0,01;"Inverted";"lai";17,7412471861103;"Validation error";17;"RFR Validation error"
"254";"GPR";0,01;"Inverted";"lai";22,3975759134258;"Validation error";17;"GPR Validation error"
"255";"ANN";0,01;"Inverted";"lai";7,06804146198817;"Validation error";17;"ANN Validation error"
"256";"MTN";0,01;"Inverted";"lai";7,989272569469;"Validation error";17;"MTN Validation error"
"257";"RFR";0,01;"Combined";"cab";1,44219498779925;"Validation error";17;"RFR Validation error"
"258";"GPR";0,01;"Combined";"cab";6,37554841247178;"Validation error";17;"GPR Validation error"
"259";"ANN";0,01;"Combined";"cab";4,22951665292765;"Validation error";17;"ANN Validation error"
"260";"MTN";0,01;"Combined";"cab";1,99652483682462;"Validation error";17;"MTN Validation error"
"261";"RFR";0,01;"Inverted";"cab";1,90004891309792;"Validation error";17;"RFR Validation error"
"262";"GPR";0,01;"Inverted";"cab";6,4427025894948;"Validation error";17;"GPR Validation error"
"263";"ANN";0,01;"Inverted";"cab";2,22964590955589;"Validation error";17;"ANN Validation error"
"264";"MTN";0,01;"Inverted";"cab";1,52158643720827;"Validation error";17;"MTN Validation error"
"265";"RFR";0,01;"Combined";"cw";39,5019864072371;"Validation error";17;"RFR Validation error"
"266";"GPR";0,01;"Combined";"cw";6,85813236590171;"Validation error";17;"GPR Validation error"
"267";"ANN";0,01;"Combined";"cw";3,466057345754;"Validation error";17;"ANN Validation error"
"268";"MTN";0,01;"Combined";"cw";2,72427079624949;"Validation error";17;"MTN Validation error"
"269";"RFR";0,01;"Inverted";"cw";38,3565449377722;"Validation error";17;"RFR Validation error"
"270";"GPR";0,01;"Inverted";"cw";6,87642270036187;"Validation error";17;"GPR Validation error"
"271";"ANN";0,01;"Inverted";"cw";2,88760644600031;"Validation error";17;"ANN Validation error"
"272";"MTN";0,01;"Inverted";"cw";2,08877292130313;"Validation error";17;"MTN Validation error"
"273";"RFR";0,01;"Combined";"cm";35,1386617973857;"Validation error";17;"RFR Validation error"
"274";"GPR";0,01;"Combined";"cm";10,6994318065167;"Validation error";17;"GPR Validation error"
"275";"ANN";0,01;"Combined";"cm";3,08543201065409;"Validation error";17;"ANN Validation error"
"276";"MTN";0,01;"Combined";"cm";2,06425932450909;"Validation error";17;"MTN Validation error"
"277";"RFR";0,01;"Inverted";"cm";30,4921631398543;"Validation error";17;"RFR Validation error"
"278";"GPR";0,01;"Inverted";"cm";10,8655445189301;"Validation error";17;"GPR Validation error"
"279";"ANN";0,01;"Inverted";"cm";3,68034818207081;"Validation error";17;"ANN Validation error"
"280";"MTN";0,01;"Inverted";"cm";3,6914574256145;"Validation error";17;"MTN Validation error"
"281";"RFR";0,01;"Combined";"lai";14,3803375822511;"Validation error";17;"RFR Validation error"
"282";"GPR";0,01;"Combined";"lai";19,0284675892559;"Validation error";17;"GPR Validation error"
"283";"ANN";0,01;"Combined";"lai";12,6208769907217;"Validation error";17;"ANN Validation error"
"284";"MTN";0,01;"Combined";"lai";4,28259714616745;"Validation error";17;"MTN Validation error"
"285";"RFR";0,01;"Inverted";"lai";20,789263578107;"Validation error";17;"RFR Validation error"
"286";"GPR";0,01;"Inverted";"lai";19,2608454567998;"Validation error";17;"GPR Validation error"
"287";"ANN";0,01;"Inverted";"lai";7,64521028656276;"Validation error";17;"ANN Validation error"
"288";"MTN";0,01;"Inverted";"lai";4,05547940848172;"Validation error";17;"MTN Validation error"
"289";"RFR";0,01;"Combined";"cab";1,52921369966384;"Validation error";17;"RFR Validation error"
"290";"GPR";0,01;"Combined";"cab";5,92844853674896;"Validation error";17;"GPR Validation error"
"291";"ANN";0,01;"Combined";"cab";2,75875489924432;"Validation error";17;"ANN Validation error"
"292";"MTN";0,01;"Combined";"cab";1,04917799971776;"Validation error";17;"MTN Validation error"
